#,Company,Contact,Country,Location,Years,Email,Phone,Description,,,
I,Atlas Digital,Karim Ben Ali,Morocco,Capital City,1,karim.benali@atlasdigital.ma,-6705,General international company.,,,
II,Equator Tech,Grace Njeri,Kenya,Capital City,1,grace.njeri@equatortech.ke,-4456,General international company.,,,
III,Victoria Solutions,Samuel Okeke,Nigeria,Capital City,1,samuel.okeke@victoriasolutions.ng,-5259,General international company.,,,
IV,Savannah IT,Daniel Mensah,Ghana,Capital City,1,daniel.mensah@savannahit.com.gh,-4487,General international company.,,,
V,BlueNile Technologies,Selam Abebe,Ethiopia,Capital City,1,selam.abebe@blueniletech.et,-4450,General international company.,,,
VI,Kilimanjaro Systems,John Mwangi,Tanzania,Capital City,1,john.mwangi@kilimanjarosys.co.tz,-4457,General international company.,,,
VII,Zambezi Digital,Thandiwe Chileshe,Zambia,Capital City,1,thandiwe.chileshe@zambezidigital.zm,-530,General international company.,,,
VIII,Lagos Innovate,Chinedu Okoro,Nigeria,Capital City,1,chinedu.okoro@lagosinnovate.com.ng,-4853,General international company.,,,
IX,Ubuntu Tech Hub,Lerato Mokoena,South Africa,Capital City,1,lerato.mokoena@ubuntutechhub.co.za,-7119,General international company.,,,
X,Oasis Technologies,Nora Al-Harbi,Saudi Arabia,Capital City,1,nora.alharbi@oasistech.sa,-7393,General international company.,,,
XI,Lotus Innovations,Ananya Sharma,India,Capital City,1,ananya.sharma@lotusinnovations.in,-6843,General international company.,,,
XII,Melbourne Tech Corp,Lucas Thompson,Australia,Sydney,1,lucas.thompson@melbtech.com.au,-14632,Focused on mining and natural resources.,,,
