#,Company,Contact,Country,Location,Years,Email,Phone,Description,,,,
I,PrimeTech Innovations,Ethan Wilson,United States,Capital City,1,ethan.wilson@primetech.com,-1055,General international company.,,,,
II,NextGen Solutions,Isabella Moore,Canada,"Toronto, ON",1,isabella.moore@nextgen.ca,-1375,Expert in real estate and property management.,,,,
III,BrightFuture Co.,Daniel Evans,Australia,Sydney,1,daniel.evans@brightfuture.com.au,-6858,Focused on mining and natural resources.,,,,
IV,Apex Dynamics,Charlotte Taylor,United Kingdom,Capital City,1,charlotte.taylor@apexdyn.co.uk,-8562,General international company.,,,,
V,Zenith Global,Liam Martinez,Mexico,Capital City,1,liam.martinez@zenithglobal.mx,-6915,General international company.,,,,
VI,Nile Systems,Mohamed Salah,Egypt,Capital City,1,mohamed.salah@nilesystems.eg,-9116,General international company.,,,,
VII,Rwanda IT Solutions,Claudine Uwimana,Rwanda,Capital City,1,claudine.uwimana@rwandaitsolutions.rw,-1117,General international company.,,,,
VIII,Sydney Tech Hub,Olivia Wilson,Australia,Sydney,1,olivia.wilson@sydneytech.com.au,-15249,Focused on mining and natural resources.,,,,
IX,Koala Innovations,Jack Brown,Australia,Sydney,1,jack.brown@koalainnovations.com.au,-13028,Focused on mining and natural resources.,,,,
X,Rio Digital,Pedro Souza,Brazil,Capital City,1,pedro.souza@riodigital.com.br,-6878,General international company.,,,,
XI,Gulf IT Services,Faisal Al-Otaibi,Saudi Arabia,Capital City,1,faisal.alotaibi@gulfit.sa,-8516,General international company.,,,,
XII,Nordic Systems,Erik Johansen,Norway,Capital City,1,erik.johansen@nordicsys.no,-4664,General international company.,,,,
